job_id,job_title,company_name,industry,location,employment_type,experience_level,salary_min_usd,salary_max_usd,required_skills,languages_required,degree_required,posted_date,is_active,description
JOB00017,Nurse,Royal Phnom Penh Hospital,Healthcare,Siem Reap,Full-time,Entry Level,367,690,"Video Editing, Node.js, Problem Solving, SQL","Khmer, English, French",High School,2025-10-17,False,We are seeking a talented Nurse to join Royal Phnom Penh Hospital. This position offers competitive salary and benefits in Healthcare.
JOB00018,Sales Consultant,Vattanac Properties,Real Estate,Battambang,Contract,Senior,1209,3786,"Microsoft Office, SEO, Digital Marketing, Excel, Teamwork, PowerPoint",Khmer,High School,2025-10-12,False,We are seeking a talented Sales Consultant to join Vattanac Properties. This position offers competitive salary and benefits in Real Estate.
JOB00019,Real Estate Agent,Chip Mong Land,Real Estate,Sihanoukville,Contract,Mid Level,918,1743,"Problem Solving, Adobe Photoshop, Project Management","Khmer, English",Master,2025-08-25,False,We are seeking a talented Real Estate Agent to join Chip Mong Land. This position offers competitive salary and benefits in Real Estate.
JOB00020,Operations Manager,Mekong Express,Transportation,Kampong Cham,Full-time,Entry Level,320,1067,"Leadership, Node.js, React, Excel","Khmer, English, Chinese",Bachelor,2025-09-23,True,We are seeking a talented Operations Manager to join Mekong Express. This position offers competitive salary and benefits in Transportation.
JOB00021,Logistics Manager,Sorya Transport,Transportation,Kampong Cham,Full-time,Senior,1517,4501,"Driving License, Time Management, SQL",Khmer,Bachelor,2025-09-02,True,We are seeking a talented Logistics Manager to join Sorya Transport. This position offers competitive salary and benefits in Transportation.
JOB00022,Project Manager,CITIC Construction,Construction,Prey Veng,Full-time,Executive,3129,8503,"PHP, Excel, SQL","Khmer, English, Chinese",PhD,2025-09-30,True,We are seeking a talented Project Manager to join CITIC Construction. This position offers competitive salary and benefits in Construction.
JOB00023,Program Manager,World Vision Cambodia,NGO/Non-Profit,Kampong Thom,Part-time,Senior,1373,2663,"React, Social Media, Photography, Excel","Khmer, English",Diploma,2025-08-29,True,We are seeking a talented Program Manager to join World Vision Cambodia. This position offers competitive salary and benefits in NGO/Non-Profit.
JOB00024,Project Coordinator,Cambodian Red Cross,NGO/Non-Profit,Battambang,Contract,Senior,1801,4186,"React, Adobe Illustrator, SQL, Chinese","Khmer, English",Diploma,2025-08-27,True,We are seeking a talented Project Coordinator to join Cambodian Red Cross. This position offers competitive salary and benefits in NGO/Non-Profit.
JOB00025,Logistics Coordinator,Little Fashion Cambodia,E-commerce,Takeo,Contract,Mid Level,424,1595,"PHP, Time Management, Social Media, Video Editing, SEO",Khmer,High School,2025-08-19,True,We are seeking a talented Logistics Coordinator to join Little Fashion Cambodia. This position offers competitive salary and benefits in E-commerce.
JOB00026,Credit Officer,Sathapana Limited,Banking/Finance,Takeo,Contract,Entry Level,177,1110,"Driving License, Node.js, Adobe Illustrator, Customer Service, Leadership",Khmer,None,2025-10-15,True,We are seeking a talented Credit Officer to join Sathapana Limited. This position offers competitive salary and benefits in Banking/Finance.
JOB00027,Pharmacist,Sunrise Japan Hospital,Healthcare,Kampong Chhnang,Contract,Executive,2143,7704,"Data Analysis, Photography, Digital Marketing",English,None,2025-11-02,False,We are seeking a talented Pharmacist to join Sunrise Japan Hospital. This position offers competitive salary and benefits in Healthcare.
JOB00028,Branch Manager,PPF Bank,Banking/Finance,Kampong Chhnang,Contract,Executive,3387,6425,"Python, Excel, Chinese, React, Communication, Video Editing","Khmer, English, French",PhD,2025-09-17,True,We are seeking a talented Branch Manager to join PPF Bank. This position offers competitive salary and benefits in Banking/Finance.
JOB00029,School Administrator,Zaman University,Education,Sihanoukville,Full-time,Mid Level,923,2169,"SEO, HTML/CSS, Problem Solving, Data Analysis, Teamwork","Khmer, English",Diploma,2025-12-06,True,We are seeking a talented School Administrator to join Zaman University. This position offers competitive salary and benefits in Education.
JOB00030,Line Leader,Bright Sky (Cambodia) Apparel,Manufacturing,Kampong Chhnang,Part-time,Entry Level,266,924,"French, Customer Service, Node.js, PHP, Digital Marketing, Social Media",Khmer,High School,2025-09-01,True,We are seeking a talented Line Leader to join Bright Sky (Cambodia) Apparel. This position offers competitive salary and benefits in Manufacturing.
JOB00031,Warehouse Supervisor,Sabrina (Cambodia) Garment Manufacturing,Manufacturing,Battambang,Full-time,Executive,2102,9566,"Microsoft Office, Video Editing, Teamwork, SEO, Leadership, Time Management","Khmer, English, French",Bachelor,2025-09-04,True,We are seeking a talented Warehouse Supervisor to join Sabrina (Cambodia) Garment Manufacturing. This position offers competitive salary and benefits in Manufacturing.
JOB00032,Marketing Coordinator,Khmer Real Estate,Real Estate,Sihanoukville,Internship,Executive,3122,8652,"Leadership, Adobe Illustrator, Node.js, Photography, Digital Marketing, Microsoft Office","Khmer, English, French",Master,2025-09-20,True,We are seeking a talented Marketing Coordinator to join Khmer Real Estate. This position offers competitive salary and benefits in Real Estate.
JOB00033,Sales Associate,Lucky Supermarket,Retail,Kampong Thom,Contract,Senior,1240,3612,"Microsoft Office, Excel, Teamwork",English,None,2025-11-20,True,We are seeking a talented Sales Associate to join Lucky Supermarket. This position offers competitive salary and benefits in Retail.
JOB00034,Event Coordinator,Osmose Cambodia,Hospitality/Tourism,Takeo,Full-time,Senior,1555,4408,"Photography, Adobe Illustrator, JavaScript, Chinese",Khmer,Bachelor,2025-11-01,True,We are seeking a talented Event Coordinator to join Osmose Cambodia. This position offers competitive salary and benefits in Hospitality/Tourism.
JOB00035,Sales Representative,Mong Reththy Group,Agriculture,Kampong Cham,Internship,Mid Level,899,1649,"JavaScript, Customer Service, PowerPoint, SEO, English, Video Editing",English,None,2025-11-18,True,We are seeking a talented Sales Representative to join Mong Reththy Group. This position offers competitive salary and benefits in Agriculture.
JOB00036,Accountant,Sathapana Limited,Banking/Finance,Phnom Penh,Full-time,Executive,3212,9623,"Microsoft Office, Driving License, Teamwork, HTML/CSS, JavaScript, French",English,Bachelor,2025-11-12,True,We are seeking a talented Accountant to join Sathapana Limited. This position offers competitive salary and benefits in Banking/Finance.
JOB00037,Digital Marketing Specialist,Little Fashion Cambodia,E-commerce,Kampong Cham,Full-time,Senior,1770,4226,"JavaScript, Adobe Photoshop, Time Management, French, Accounting, Node.js",Khmer,None,2025-12-04,True,We are seeking a talented Digital Marketing Specialist to join Little Fashion Cambodia. This position offers competitive salary and benefits in E-commerce.
JOB00038,Warehouse Supervisor,Sabrina (Cambodia) Garment Manufacturing,Manufacturing,Battambang,Part-time,Entry Level,309,656,"Node.js, Project Management, React, Teamwork, Social Media, Microsoft Office","Khmer, English, Chinese",Diploma,2025-09-23,False,We are seeking a talented Warehouse Supervisor to join Sabrina (Cambodia) Garment Manufacturing. This position offers competitive salary and benefits in Manufacturing.
JOB00039,Logistics Manager,PassApp Taxi,Transportation,Phnom Penh,Contract,Senior,1110,4870,"Video Editing, Chinese, Social Media, React, SQL, Project Management","Khmer, English",High School,2025-09-11,True,We are seeking a talented Logistics Manager to join PassApp Taxi. This position offers competitive salary and benefits in Transportation.
JOB00040,Sales Representative,Angkor Kasekam Roongroeung,Agriculture,Phnom Penh,Contract,Entry Level,353,1079,"Adobe Photoshop, SQL, Leadership, Digital Marketing, PowerPoint, Python",English,Master,2025-11-26,True,We are seeking a talented Sales Representative to join Angkor Kasekam Roongroeung. This position offers competitive salary and benefits in Agriculture.
JOB00041,Digital Marketing Specialist,WownowKh,E-commerce,Prey Veng,Contract,Mid Level,845,1560,"Khmer, Communication, Photography, Adobe Photoshop, Project Management, Microsoft Office","Khmer, English, Chinese",Diploma,2025-08-25,True,We are seeking a talented Digital Marketing Specialist to join WownowKh. This position offers competitive salary and benefits in E-commerce.
JOB00042,Store Manager,Lucky Supermarket,Retail,Takeo,Contract,Executive,3167,9999,"French, Digital Marketing, Accounting",English,Diploma,2025-10-25,True,We are seeking a talented Store Manager to join Lucky Supermarket. This position offers competitive salary and benefits in Retail.
JOB00043,Warehouse Manager,Little Fashion Cambodia,E-commerce,Prey Veng,Part-time,Senior,1569,2541,"Problem Solving, Photography, French","Khmer, English, French",Diploma,2025-09-12,True,We are seeking a talented Warehouse Manager to join Little Fashion Cambodia. This position offers competitive salary and benefits in E-commerce.
JOB00044,Construction Worker,Muhibbah Engineering,Construction,Battambang,Internship,Entry Level,173,801,"Data Analysis, Adobe Photoshop, Chinese, Social Media",English,None,2025-09-30,True,We are seeking a talented Construction Worker to join Muhibbah Engineering. This position offers competitive salary and benefits in Construction.
JOB00045,Digital Marketing Specialist,WownowKh,E-commerce,Battambang,Full-time,Senior,1313,3529,"Digital Marketing, Node.js, Accounting, Customer Service","Khmer, English",None,2025-10-09,True,We are seeking a talented Digital Marketing Specialist to join WownowKh. This position offers competitive salary and benefits in E-commerce.
JOB00046,Driver,Mekong Express,Transportation,Kampong Thom,Part-time,Mid Level,703,1665,"Python, Microsoft Office, Time Management, SQL, Java","Khmer, English, French",Bachelor,2025-09-11,True,We are seeking a talented Driver to join Mekong Express. This position offers competitive salary and benefits in Transportation.
JOB00047,Site Engineer,Muhibbah Engineering,Construction,Kampong Speu,Internship,Entry Level,296,791,"SEO, HTML/CSS, JavaScript, Microsoft Office, Driving License, Problem Solving",Khmer,High School,2025-10-19,True,We are seeking a talented Site Engineer to join Muhibbah Engineering. This position offers competitive salary and benefits in Construction.
JOB00048,Hotel Manager,Cambodia Angkor Air,Hospitality/Tourism,Kampong Cham,Full-time,Mid Level,552,2352,"Node.js, Photography, Teamwork, Adobe Illustrator",English,Master,2025-11-01,False,We are seeking a talented Hotel Manager to join Cambodia Angkor Air. This position offers competitive salary and benefits in Hospitality/Tourism.
JOB00049,Field Officer,Save the Children Cambodia,NGO/Non-Profit,Battambang,Part-time,Entry Level,306,601,"HTML/CSS, PowerPoint, Problem Solving, Accounting, PHP","Khmer, English",High School,2025-10-18,True,We are seeking a talented Field Officer to join Save the Children Cambodia. This position offers competitive salary and benefits in NGO/Non-Profit.
JOB00050,Fleet Coordinator,Lanmei Airlines,Transportation,Kampong Cham,Internship,Entry Level,209,795,"Teamwork, Leadership, Customer Service",English,High School,2025-10-01,True,We are seeking a talented Fleet Coordinator to join Lanmei Airlines. This position offers competitive salary and benefits in Transportation.
JOB00051,Architect,Thai Boon Roong,Construction,Sihanoukville,Contract,Mid Level,473,1322,"English, Node.js, Khmer, Data Analysis, Video Editing","Khmer, English, Chinese",PhD,2025-10-01,True,We are seeking a talented Architect to join Thai Boon Roong. This position offers competitive salary and benefits in Construction.
JOB00052,Academic Coordinator,Royal University of Phnom Penh,Education,Kampong Thom,Contract,Entry Level,377,942,"HTML/CSS, Teamwork, JavaScript","Khmer, English, Chinese",PhD,2025-12-04,True,We are seeking a talented Academic Coordinator to join Royal University of Phnom Penh. This position offers competitive salary and benefits in Education.
JOB00053,Librarian,Western International School,Education,Kampong Chhnang,Internship,Executive,2569,6486,"HTML/CSS, Problem Solving, Accounting, Communication, PowerPoint, Driving License",Khmer,Diploma,2025-10-28,True,We are seeking a talented Librarian to join Western International School. This position offers competitive salary and benefits in Education.
JOB00054,Fleet Coordinator,Lanmei Airlines,Transportation,Kampong Speu,Full-time,Executive,3126,5300,"Leadership, Digital Marketing, Node.js, Video Editing, Python","Khmer, English, French",Master,2025-10-18,True,We are seeking a talented Fleet Coordinator to join Lanmei Airlines. This position offers competitive salary and benefits in Transportation.
JOB00055,Factory Worker,Cambodia Brewery Limited,Manufacturing,Phnom Penh,Part-time,Executive,3280,8621,"Microsoft Office, Project Management, English, French, Node.js",Khmer,None,2025-09-23,True,We are seeking a talented Factory Worker to join Cambodia Brewery Limited. This position offers competitive salary and benefits in Manufacturing.
JOB00056,Fleet Coordinator,Cambodia Post,Transportation,Siem Reap,Part-time,Entry Level,291,917,"Khmer, Node.js, Excel",English,None,2025-11-02,False,We are seeking a talented Fleet Coordinator to join Cambodia Post. This position offers competitive salary and benefits in Transportation.
JOB00057,Dispatcher,Mekong Express,Transportation,Kampong Speu,Part-time,Executive,2967,6996,"Customer Service, Khmer, Data Analysis, Leadership, Adobe Photoshop, PHP",Khmer,Bachelor,2025-09-02,True,We are seeking a talented Dispatcher to join Mekong Express. This position offers competitive salary and benefits in Transportation.
JOB00058,Customer Support Specialist,Cambodia Post E-commerce,E-commerce,Kampong Chhnang,Internship,Entry Level,222,805,"English, Chinese, Social Media, SEO","Khmer, English, French",PhD,2025-10-22,True,We are seeking a talented Customer Support Specialist to join Cambodia Post E-commerce. This position offers competitive salary and benefits in E-commerce.
JOB00059,Delivery Driver,sabay.com,E-commerce,Battambang,Internship,Mid Level,985,1984,"Digital Marketing, Chinese, Adobe Illustrator",English,None,2025-08-30,True,We are seeking a talented Delivery Driver to join sabay.com. This position offers competitive salary and benefits in E-commerce.
JOB00060,Math Teacher,Royal University of Phnom Penh,Education,Kampong Speu,Full-time,Senior,1890,2911,"Python, Adobe Photoshop, PHP, Communication, Driving License, Digital Marketing","Khmer, English",High School,2025-10-10,True,We are seeking a talented Math Teacher to join Royal University of Phnom Penh. This position offers competitive salary and benefits in Education.
JOB00061,Delivery Driver,Cambodia Post E-commerce,E-commerce,Kampong Thom,Internship,Executive,3330,5657,"French, SQL, PHP, Problem Solving, Project Management","Khmer, English",None,2025-11-28,True,We are seeking a talented Delivery Driver to join Cambodia Post E-commerce. This position offers competitive salary and benefits in E-commerce.
JOB00062,Concierge,Sofitel Phnom Penh Phokeethra,Hospitality/Tourism,Phnom Penh,Contract,Mid Level,706,1259,"Project Management, Social Media, Adobe Photoshop",English,Diploma,2025-11-08,False,We are seeking a talented Concierge to join Sofitel Phnom Penh Phokeethra. This position offers competitive salary and benefits in Hospitality/Tourism.
JOB00063,Project Coordinator,World Vision Cambodia,NGO/Non-Profit,Takeo,Part-time,Mid Level,480,2448,"Excel, Node.js, Teamwork, Digital Marketing, Microsoft Office, Khmer","Khmer, English, Chinese",None,2025-12-08,True,We are seeking a talented Project Coordinator to join World Vision Cambodia. This position offers competitive salary and benefits in NGO/Non-Profit.
JOB00064,Inventory Coordinator,City Mall,Retail,Kampong Thom,Contract,Mid Level,475,2104,"Leadership, Teamwork, Driving License, Excel, React, Customer Service",English,High School,2025-11-09,True,We are seeking a talented Inventory Coordinator to join City Mall. This position offers competitive salary and benefits in Retail.
JOB00065,Marketing Coordinator,ING City,Real Estate,Phnom Penh,Internship,Senior,1716,3709,"Python, Java, French, Project Management, Teamwork","Khmer, English, French",Bachelor,2025-11-11,True,We are seeking a talented Marketing Coordinator to join ING City. This position offers competitive salary and benefits in Real Estate.
JOB00066,Property Manager,ING City,Real Estate,Phnom Penh,Contract,Entry Level,381,1142,"SQL, Project Management, Accounting, Adobe Photoshop, PHP, French","Khmer, English, Chinese",Bachelor,2025-09-05,True,We are seeking a talented Property Manager to join ING City. This position offers competitive salary and benefits in Real Estate.
JOB00067,Loan Officer,PPF Bank,Banking/Finance,Kampong Cham,Part-time,Senior,1543,4555,"Chinese, Project Management, SEO, Node.js, Khmer",Khmer,Diploma,2025-09-04,True,We are seeking a talented Loan Officer to join PPF Bank. This position offers competitive salary and benefits in Banking/Finance.
JOB00068,Agricultural Technician,Angkor Kasekam Roongroeung,Agriculture,Phnom Penh,Contract,Senior,1092,4116,"Khmer, Adobe Photoshop, Leadership","Khmer, English, French",Master,2025-08-26,True,We are seeking a talented Agricultural Technician to join Angkor Kasekam Roongroeung. This position offers competitive salary and benefits in Agriculture.
JOB00069,Concierge,Sokha Hotels & Resorts,Hospitality/Tourism,Kampong Thom,Part-time,Entry Level,308,1074,"Khmer, Data Analysis, Photography",Khmer,Diploma,2025-12-04,True,We are seeking a talented Concierge to join Sokha Hotels & Resorts. This position offers competitive salary and benefits in Hospitality/Tourism.
JOB00070,Sales Associate,Lucky Supermarket,Retail,Sihanoukville,Internship,Entry Level,210,1050,"Adobe Photoshop, SEO, French, Social Media, Time Management, Communication","Khmer, English, French",None,2025-09-07,True,We are seeking a talented Sales Associate to join Lucky Supermarket. This position offers competitive salary and benefits in Retail.
JOB00071,Finance Officer,Plan International Cambodia,NGO/Non-Profit,Kampong Cham,Full-time,Executive,3260,8343,"Communication, English, Problem Solving, Adobe Photoshop, React","Khmer, English, Chinese",PhD,2025-08-16,True,We are seeking a talented Finance Officer to join Plan International Cambodia. This position offers competitive salary and benefits in NGO/Non-Profit.
JOB00072,IT Support Specialist,SabaiCode,IT/Software,Siem Reap,Part-time,Mid Level,525,2131,"Java, SEO, Problem Solving","Khmer, English",PhD,2025-11-13,True,We are seeking a talented IT Support Specialist to join SabaiCode. This position offers competitive salary and benefits in IT/Software.
JOB00073,Farm Manager,Soma Group,Agriculture,Sihanoukville,Full-time,Mid Level,638,1872,"Excel, Microsoft Office, Leadership, Accounting, Node.js",Khmer,Diploma,2025-12-08,True,We are seeking a talented Farm Manager to join Soma Group. This position offers competitive salary and benefits in Agriculture.
JOB00074,Content Writer,Sabay Digital,Media/Advertising,Kampong Cham,Full-time,Senior,1016,3213,"Photography, Node.js, PHP, Chinese",English,Bachelor,2025-10-05,False,We are seeking a talented Content Writer to join Sabay Digital. This position offers competitive salary and benefits in Media/Advertising.
JOB00075,Restaurant Manager,Intrepid Travel Cambodia,Hospitality/Tourism,Kampong Cham,Internship,Mid Level,444,2267,"Java, Chinese, Video Editing",English,None,2025-11-26,True,We are seeking a talented Restaurant Manager to join Intrepid Travel Cambodia. This position offers competitive salary and benefits in Hospitality/Tourism.
JOB00076,Driver,Lanmei Airlines,Transportation,Sihanoukville,Full-time,Entry Level,232,1122,"Time Management, Digital Marketing, Adobe Illustrator, Project Management",English,PhD,2025-09-23,True,We are seeking a talented Driver to join Lanmei Airlines. This position offers competitive salary and benefits in Transportation.
JOB00077,Restaurant Manager,Sofitel Phnom Penh Phokeethra,Hospitality/Tourism,Battambang,Internship,Mid Level,840,2124,"Khmer, Video Editing, Photography, React, Digital Marketing",English,Bachelor,2025-09-15,True,We are seeking a talented Restaurant Manager to join Sofitel Phnom Penh Phokeethra. This position offers competitive salary and benefits in Hospitality/Tourism.
JOB00078,Delivery Driver,sabay.com,E-commerce,Siem Reap,Full-time,Executive,2137,5747,"React, Adobe Photoshop, Chinese, Accounting, Video Editing, PHP","Khmer, English, French",High School,2025-09-25,False,We are seeking a talented Delivery Driver to join sabay.com. This position offers competitive salary and benefits in E-commerce.
JOB00079,Radiologist,Naga Clinic,Healthcare,Takeo,Full-time,Entry Level,255,862,"Data Analysis, Social Media, React, Communication, Excel",English,Diploma,2025-08-23,True,We are seeking a talented Radiologist to join Naga Clinic. This position offers competitive salary and benefits in Healthcare.
JOB00080,Customer Support Specialist,Cambodia Post E-commerce,E-commerce,Kampong Chhnang,Part-time,Entry Level,345,785,"JavaScript, Data Analysis, Khmer, SEO, Photography, Social Media","Khmer, English, Chinese",High School,2025-11-16,True,We are seeking a talented Customer Support Specialist to join Cambodia Post E-commerce. This position offers competitive salary and benefits in E-commerce.
JOB00081,Fleet Coordinator,Mekong Express,Transportation,Sihanoukville,Internship,Senior,1006,3243,"Excel, JavaScript, HTML/CSS","Khmer, English, French",Diploma,2025-10-22,True,We are seeking a talented Fleet Coordinator to join Mekong Express. This position offers competitive salary and benefits in Transportation.
JOB00082,Math Teacher,Build Bright University,Education,Kampong Chhnang,Full-time,Senior,1319,3828,"Excel, PowerPoint, Java",Khmer,Bachelor,2025-10-14,True,We are seeking a talented Math Teacher to join Build Bright University. This position offers competitive salary and benefits in Education.
JOB00083,School Administrator,Western International School,Education,Prey Veng,Full-time,Executive,2559,6765,"Driving License, Node.js, Project Management, French, Data Analysis",Khmer,Diploma,2025-10-20,False,We are seeking a talented School Administrator to join Western International School. This position offers competitive salary and benefits in Education.
JOB00084,Data Analyst,Smart Axiata,IT/Software,Sihanoukville,Contract,Senior,1968,3365,"Digital Marketing, Node.js, Python, French, Driving License","Khmer, English",Diploma,2025-10-22,False,We are seeking a talented Data Analyst to join Smart Axiata. This position offers competitive salary and benefits in IT/Software.
JOB00085,Operations Manager,Giant Ibis Transport,Transportation,Phnom Penh,Internship,Senior,1073,4126,"Khmer, PHP, Digital Marketing","Khmer, English, French",Master,2025-09-27,True,We are seeking a talented Operations Manager to join Giant Ibis Transport. This position offers competitive salary and benefits in Transportation.
JOB00086,Fleet Coordinator,Cambodia Angkor Air,Transportation,Kampong Thom,Part-time,Entry Level,253,521,"Adobe Photoshop, SQL, Communication, Driving License, Java, Node.js",English,PhD,2025-10-19,False,We are seeking a talented Fleet Coordinator to join Cambodia Angkor Air. This position offers competitive salary and benefits in Transportation.
JOB00087,Bartender,Osmose Cambodia,Hospitality/Tourism,Sihanoukville,Full-time,Senior,1226,3864,"Customer Service, Social Media, Excel","Khmer, English",High School,2025-11-21,True,We are seeking a talented Bartender to join Osmose Cambodia. This position offers competitive salary and benefits in Hospitality/Tourism.
JOB00088,Line Leader,Sabrina (Cambodia) Garment Manufacturing,Manufacturing,Kampong Speu,Internship,Mid Level,477,1562,"Digital Marketing, Driving License, French, PowerPoint, PHP, Teamwork",Khmer,Master,2025-10-14,True,We are seeking a talented Line Leader to join Sabrina (Cambodia) Garment Manufacturing. This position offers competitive salary and benefits in Manufacturing.
JOB00089,Journalist,CNC (Cambodian News Channel),Media/Advertising,Siem Reap,Contract,Entry Level,240,1019,"English, JavaScript, Chinese, Accounting, Photography, Excel",Khmer,None,2025-08-21,True,We are seeking a talented Journalist to join CNC (Cambodian News Channel). This position offers competitive salary and benefits in Media/Advertising.
JOB00090,Marketing Coordinator,Vattanac Properties,Real Estate,Prey Veng,Full-time,Executive,2947,9754,"Customer Service, PowerPoint, Data Analysis, Problem Solving, Leadership, PHP",Khmer,Master,2025-11-26,True,We are seeking a talented Marketing Coordinator to join Vattanac Properties. This position offers competitive salary and benefits in Real Estate.
JOB00091,Operations Manager,PassApp Taxi,Transportation,Kampong Speu,Internship,Mid Level,440,1707,"Adobe Photoshop, Project Management, Adobe Illustrator, Photography","Khmer, English, Chinese",None,2025-09-24,True,We are seeking a talented Operations Manager to join PassApp Taxi. This position offers competitive salary and benefits in Transportation.
JOB00092,Marketing Manager,MYTV,Media/Advertising,Siem Reap,Internship,Senior,1067,3850,"Leadership, Excel, SEO, HTML/CSS, Social Media","Khmer, English, Chinese",None,2025-09-11,True,We are seeking a talented Marketing Manager to join MYTV. This position offers competitive salary and benefits in Media/Advertising.
JOB00093,Financial Analyst,Sathapana Limited,Banking/Finance,Kampong Thom,Part-time,Senior,1572,4042,"Driving License, Adobe Photoshop, JavaScript","Khmer, English, Chinese",Bachelor,2025-11-16,True,We are seeking a talented Financial Analyst to join Sathapana Limited. This position offers competitive salary and benefits in Banking/Finance.
JOB00094,Logistics Coordinator,Komnit Store,E-commerce,Siem Reap,Contract,Mid Level,540,1517,"SQL, SEO, Microsoft Office","Khmer, English, French",Master,2025-11-20,True,We are seeking a talented Logistics Coordinator to join Komnit Store. This position offers competitive salary and benefits in E-commerce.
